input_sequence,fold_predictions_ft,fold_predictions_zs,fold_predictions_ft_rouge,fold_predictions_zs_rouge,fold
remove all whitespaces in a string `sentence`,remove duplicate words from string `sentence`,Returns a string with the sentence.,0.4615384615384615,0.4615384615384615,0
parse date string '2009/05/13 19:19:30 -0400' using format '%Y/%m/%d %H:%M:%S %z',convert a DateTime string '2009/05/13:00:00 GMT,2016 - 05 - 13,0.27586206896551724,0.18181818181818182,0
"get the output of a subprocess command `echo ""foo""` in command line","check if a shell script `echo ""foo"" exists",echo foo,0.3,0.2857142857142857,0
get data of column 'A' and column 'B' in dataframe `df` where column 'A' is equal to 'foo',get the first value from dataframe `df` where column 'foo' is equal to 'A,The data frame is a DataFrame with the data from the foo group.,0.6250000000000001,0.3225806451612903,0
parse string '2015/01/01 12:12am' to DateTime object using format '%Y/%m/%d %I:%M%p',convert date string '2015/01/01 12:12' into a,2015 - 01 - 12,0.35714285714285715,0.2857142857142857,0
get a list each value `i` in the implicit tuple `range(3)`,create a list containing 3 empty lists,Returns a list of numbers,0.3157894736842105,0.23529411764705882,0
create a list of all unique characters in string 'aaabcabccd',convert a dictionary `OrderedDict` into a string,Join all keys in a dict to a string.,0.23529411764705882,0.4210526315789474,0
set font size of axis legend of plot `plt` to 'xx-small',change legend legend title to'small' in legend 'legend',Set the title of the legend,0.28571428571428575,0.3333333333333333,0
remove all whitespace in a string `sentence`,regular expression match nothing,A word sentence is a word that is not a word or a word that is not a word,0.0,0.15384615384615385,0
trim characters ' \t\n\r' in `s`,remove newline in string `s`,Remove all tabs and newlines from a string.,0.3333333333333333,0.0,0
build dictionary with keys of dictionary `_container` as keys and values of returned value of function `_value` with correlating key as parameter,get a dictionary with key `key` from dictionary `dict`,Return a dictionary of all the keys in the object.,0.2580645161290322,0.18749999999999997,0
"unzip the list `[('a', 1), ('b', 2), ('c', 3), ('d', 4)]`",zip two lists `a` and `b` into a list of tuples,zips two arrays of numbers,0.2727272727272727,0.0,0
convert dictionary `adict` into string,format string `key` with string formatting,Returns a string with the given key.,0.1818181818181818,0.16666666666666666,0
reverse y-axis in pyplot,"in matplotlib, in matplotlib, get the y axis of the plot `plt`",Invert the y - axis of the figure.,0.35294117647058826,0.3333333333333333,0
get element at index 0 of each list in column 'value' of dataframe `df`,convert column 'value' to a string in pandas,df. value = > value,0.2727272727272727,0.23529411764705882,0
"Taking the results of a bash command ""awk '{print $10, $11}' test.txt > test2.txt""","execute a command `awk `{print $10, $11} with a",os. system,0.5,0.0,0
sort dict by value python,Sort dictionary `data` by value in ascending order,Returns a sorted list of the data.,0.4615384615384615,0.0,0
Convert CSV file `Result.csv` to Pandas dataframe using separator ' ',write dataframe `df` to a csv file 'Result.csv',Export the result to a CSV file.,0.631578947368421,0.47058823529411764,0
Convert unix timestamp '1347517370' to formatted string '%Y-%m-%d %H:%M:%S',print current date and time in a regular format,Returns the current time as a string.,0.0,0.1,0
"throw an assertion error with message ""Unexpected value of 'distance'!"", distance",check if string `distance` is not equal to `0`,Assert that distance is not a positive integer.,0.09999999999999999,0.10526315789473685,0
Python date string formatting,format string '{0.month}/{0.day}' in string '{0.year}',The date of the year.,0.14285714285714288,0.22222222222222224,0
set dataframe `df` index using column 'month',Set the index of dataframe `df` to the value of column'month' in column ',Modify the DataFrame to include the month s values.,0.5714285714285714,0.25,0
"find the string in `your_string` between two special characters ""["" and ""]""",Python regular expression match whole word,Returns the first occurrence of a regex in your string,0.0,0.380952380952381,0
find all words in a string `mystring` that start with the `$` sign,split string `mystring` into a list of words,Returns a list of all words in the string.,0.4,0.5714285714285715,0
sort a list of strings `strings` based on regex match,sort a list of strings `strings` by the first part of each string,Sort strings by their priority.,0.5217391304347826,0.26666666666666666,0
remove all square brackets from string 'abcd[e]yth[ac]ytwec',remove all non-alphanumeric characters in string 'ab',Remove all brackets and spaces from the end of the string.,0.3157894736842105,0.45454545454545453,0
"unzip list `[('a', 1), ('b', 2), ('c', 3), ('d', 4), ('e', )]` and fill empty results with None",create a list containing all values from a list `a` and list `b`,Map a list of numbers to a b.,0.26666666666666666,0.24,0
