question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new,sudden_batch,sudden_new
237079,get file creation & modification date/times in,get modification time of file `path`,os.path.getmtime(path),102,0,9,60,1,31,0,9,0
402504,determine the variable type,determine the type of variable `v`,type(v),174,0,4,16,1,46,1,9,0
403421,"How to sort a list of objects , based on an attribute of the objects?","sort a list of objects `ut`, based on a function `cmpfun` in descending order","ut.sort(key=cmpfun, reverse=True)",182,0,7,16,1,31,0,9,0
663171,reversing a string,reverse a string `some_string`,some_string[::(-1)],267,0,8,0,0,42,0,9,0
716477,join list of lists in python,get each value from a list of lists `a` using itertools,print(list(itertools.chain.from_iterable(a))),296,0,7,59,1,41,0,9,0
843277,check if a variable exists,check if a local variable 'myVar' exists,"if ('myVar' in locals()):
    pass",339,0,4,30,1,28,1,9,0
1185524,trim whitespace,trim whitespace in string `s`,s.strip(),421,2,8,0,0,9,0,9,0
1874194,Pythonic way to get the largest item in a list,find tuple in list of tuples `a_list` with the largest second element,"max(a_list, key=operator.itemgetter(1))",515,4,7,53,1,4,0,9,0
2051744,Reverse Y-Axis in PyPlot,reverse y-axis in pyplot,plt.gca().invert_yaxis(),538,5,4,11,1,46,1,9,0
2389846,Python Decimals format,format a string `num` using string formatting,"""""""{0:.3g}"""""".format(num)",595,6,5,11,0,23,0,9,0
3252590,Python: Finding a (string) key in a dictionary that contains a substring,Find all the items from a dictionary `D` if the key contains the string `Light`,"[(k, v) for k, v in D.items() if 'Light' in k]",722,9,1,31,0,19,0,9,0
3494906,How do I merge a list of dicts into a single dict?,merge a list of dictionaries in list `L` into a single dict,"{k: v for d in L for k, v in list(d.items())}",777,11,1,0,0,40,0,9,0
3728017,Sorting while preserving order in python,Sorting while preserving order in python,"sorted(enumerate(a), key=lambda x: x[1])",804,11,7,59,1,34,0,9,0
3877491,deleting rows in numpy array,Delete third row in a numpy array `x`,"x = numpy.delete(x, 2, axis=1)",828,12,6,27,0,2,0,9,0
3939361,Remove specific characters from a string,Remove characters in `b` from a string `a`,"a = a.replace(char, '')",845,12,8,0,0,43,0,9,0
5430470,retrieving list items from request.POST in django/python,Get a list values of a dictionary item `pass_id` from post requests in django,request.POST.getlist('pass_id'),1068,18,4,46,1,25,1,9,0
5486725,How to execute a command prompt command from python,execute a command in the command prompt to list directory contents of the c drive `c:\\',os.system('dir c:\\'),1070,18,9,36,1,52,0,9,0
7286365,Print a list in reverse order with range()?,reverse the list that contains 1 to 10,list(reversed(list(range(10)))),1219,22,7,30,1,22,0,9,0
8315209,Sending http headers with python,sending http headers to `client`,client.send('HTTP/1.0 200 OK\r\n'),1319,25,4,43,1,47,1,9,0
9210525,convert hex to decimal,"convert hex string ""FFFF"" to decimal","int('FFFF', 16)",1396,27,5,26,0,63,0,9,0
9746522,How can I use sum() function for a list in Python?,convert int values in list `numlist` to float,numlist = [float(x) for x in numlist],1443,28,5,58,0,5,0,9,0
10472907,How to convert dictionary into string,convert dictionary `adict` into string,""""""""""""".join('{}{}'.format(key, val) for key, val in list(adict.items()))",1491,29,1,40,0,30,0,9,0
