question_id,intent,rewritten_intent,snippet,idx,time_batch
18990069,how to get tuples from lists using list comprehension in python,create tuples containing elements that are at the same index of list `lst` and list `lst2`,"[(i, j) for i, j in zip(lst, lst2)]",2173,47
18990069,how to get tuples from lists using list comprehension in python,get tuples of the corresponding elements from lists `lst` and `lst2`,"[(x, lst2[i]) for i, x in enumerate(lst)]",2174,47
19011613,Using BeautifulSoup to select div blocks within HTML,using beautifulsoup to select div blocks within html `soup`,"soup.find_all('div', class_='crBlock ')",2175,47
19035186,How to select element with Selenium Python xpath,How to select element with Selenium Python xpath,"driver.find_element_by_xpath(""//div[@id='a']//a[@class='click']"")",2176,47
19068269,how to convert a string date into datetime format in python?,convert a string into datetime using the format '%Y-%m-%d %H:%M:%S.%f',"datetime.datetime.strptime(string_date, '%Y-%m-%d %H:%M:%S.%f')",2177,47
19069701,Python requests library how to pass Authorization header with single token,request URI '<MY_URI>' and pass authorization token 'TOK:<MY_TOKEN>' to the header,"r = requests.get('<MY_URI>', headers={'Authorization': 'TOK:<MY_TOKEN>'})",2178,47
19095796,How to print backslash with Python?,print backslash,print('\\'),2179,47
19100540,Rounding entries in a Pandas DafaFrame,"round off entries in dataframe `df` column `Alabama_exp` to two decimal places, and entries in column `Credit_exp` to three decimal places","df.round({'Alabama_exp': 2, 'Credit_exp': 3})",2180,47
19112735,Python - print tuple elements with no brackets,print each first value from a list of tuples `mytuple` with string formatting,"print(', ,'.join([str(i[0]) for i in mytuple]))",2181,47
19121722,Build Dictionary in Python Loop - List and Dictionary Comprehensions,build dictionary with keys of dictionary `_container` as keys and values of returned value of function `_value` with correlating key as parameter,{_key: _value(_key) for _key in _container},2182,47
19153328,How to dynamically assign values to class properties in Python?,assign value in `group` dynamically to class property `attr`,"setattr(self, attr, group)",2183,47
19156472,Sorting numpy array on multiple columns in Python,"Sort a structured numpy array 'df' on multiple columns 'year', 'month' and 'day'.","df.sort(['year', 'month', 'day'])",2184,47
19156472,Sorting numpy array on multiple columns in Python,"sort array `order_array` based on column 'year', 'month' and 'day'","order_array.sort(order=['year', 'month', 'day'])",2185,47
19205916,How to call Base Class's __init__ method from the child class?,call base class's __init__ method from the child class `ChildClass`,"super(ChildClass, self).__init__(*args, **kwargs)",2186,47
19267591,How to store os.system() output in a variable or a list in python,store the output of command 'ls' in variable `direct_output`,"direct_output = subprocess.check_output('ls', shell=True)",2187,47
19300174,Python: Assign each element of a List to a separate Variable,"destruct elements of list `[1, 2, 3]` to variables `a`, `b` and `c`","a, b, c = [1, 2, 3]",2188,47
19328874,Python - read text file with weird utf-16 format,print line `line` from text file with 'utf-16-le' format,print(line.decode('utf-16-le').split()),2189,47
19328874,Python - read text file with weird utf-16 format,open a text file `data.txt` in io module with encoding `utf-16-le`,"file = io.open('data.txt', 'r', encoding='utf-16-le')",2190,47
19334374,Python - converting a string of numbers into a list of int,Convert a string of numbers 'example_string' separated by comma into a list of numbers,"[int(s) for s in example_string.split(',')]",2191,47
19334374,Python - converting a string of numbers into a list of int,"Convert a string of numbers `example_string` separated by `,` into a list of integers","map(int, example_string.split(','))",2192,47
19365513,How to add an extra row to a pandas dataframe,"Add row `['8/19/2014', 'Jun', 'Fly', '98765']` to dataframe `df`","df.loc[len(df)] = ['8/19/2014', 'Jun', 'Fly', '98765']",2193,47
19384532,How to count number of rows in a group in pandas group by object?,count number of rows in a group `key_columns` in pandas groupby object `df`,df.groupby(key_columns).size(),2194,47
19410018,How to count the number of words in a sentence?,count the number of words in a string `s`,len(s.split()),2195,47
19410585,Add headers in a Flask app with unicode_literals,"add header 'WWWAuthenticate' in a flask app with value 'Basic realm=""test""'","response.headers['WWW-Authenticate'] = 'Basic realm=""test""'",2196,47
19433630,How to use 'User' as foreign key in Django 1.5,django create a foreign key column `user` and link it to table 'User',"user = models.ForeignKey('User', unique=True)",2197,47
19445682,How do I increase the timeout for imaplib requests?,handle the `urlfetch_errors ` exception for imaplib request to url `url`,"urlfetch.fetch(url, deadline=10 * 60)",2198,47
19454970,Is there a Python dict without values?,create dict of squared int values in range of 100,{(x ** 2) for x in range(100)},2199,47
19490064,Merge DataFrames in Pandas using the mean,merge rows from dataframe `df1` with rows from dataframe `df2` and calculate the mean for rows that have the same value of axis 1,"pd.concat((df1, df2), axis=1).mean(axis=1)",2200,47
19527279,Python - Unicode to ASCII conversion,convert unicode string `s` to ascii,s.encode('iso-8859-15'),2201,47
19546911,How to get a 16bit Unsigned integer in python,Convert integer `number` into an unassigned integer,"struct.unpack('H', struct.pack('h', number))",2202,47
