question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new
89228,Calling an external command,"Calling an external command ""echo Hello World""",print(os.popen('echo Hello World').read()),60,0,9,11,1
319426,case insensitive string comparison,case insensitive comparison between strings `first` and `second`,(first.upper() == second.upper()),147,0,0,11,0
379906,Parse String to Float or Int,Parse String `s` to Float or Int,"try:
    return int(s)
except ValueError:
    return float(s)",173,0,5,11,0
642154,convert strings into integers,function to convert strings into integers,int(),260,0,5,11,0
1592158,Convert hex to float,convert hex string '470FC614' to a float number,"struct.unpack('!f', '470FC614'.decode('hex'))[0]",477,3,5,11,0
2051744,Reverse Y-Axis in PyPlot,reverse y-axis in pyplot,plt.gca().invert_yaxis(),538,5,4,11,1
2372573,How do I remove whitespace from the end of a string in Python?,"remove white spaces from the end of string ""    xyz     ""","""""""    xyz     """""".rstrip()",593,6,8,11,0
2389846,Python Decimals format,format a string `num` using string formatting,"""""""{0:.3g}"""""".format(num)",595,6,5,11,0
2527892,Parsing a tweet to extract hashtags into an array in Python,pars a string 'http://example.org/#comments' to extract hashtags into an array,"re.findall('#(\\w+)', 'http://example.org/#comments')",610,6,0,11,0
3518778,read csv into record array,read csv file 'myfile.csv' into array,"np.genfromtxt('myfile.csv', delimiter=',', dtype=None)",785,11,6,11,0
3878555,How to replace repeated instances of a character with a single instance of that character in python,"replace repeated instances of ""*"" with a single instance of ""*""","re.sub('\\*+', '*', text)",829,12,0,11,0
3939361,Remove specific characters from a string,Remove characters in '!@#$' from a string `line`,"line = line.translate(string.maketrans('', ''), '!@#$')",846,12,8,11,0
4642501,How to sort dictionaries by keys in Python,How to sort dictionaries by keys in Python,sorted(d.items()),960,15,1,11,0
4830535,Python: How do I format a date in Jinja2?,Jinja parse datetime object `car.date_of_manufacture` to use format pattern `datetime`,{{car.date_of_manufacture | datetime}},995,16,2,11,0
5618878,convert list to string,"concatenating values in list `L` to a string, separate by space",' '.join((str(x) for x in L)),1082,19,7,11,1
7128153,Multiple 'in' operators in Python?,"check if  dictionary `d` contains all keys in list `['somekey', 'someotherkey', 'somekeyggg']`","all(word in d for word in ['somekey', 'someotherkey', 'somekeyggg'])",1197,21,1,11,0
7271482,python getting a list of value from list of dict,python getting a list of value from list of dict,[d['value'] for d in l if 'value' in d],1215,22,1,11,0
7371935,Sort a string in lexicographic order python,sort string `s` in lexicographic order,"sorted(sorted(s), key=str.upper)",1231,22,0,11,0
8993904,Python regex split case insensitive in 2.6,split string 'fooxyzbar' based on case-insensitive matching using string 'XYZ',"re.compile('XYZ', re.IGNORECASE).split('fooxyzbar')",1379,26,0,11,0
9495262,create dictionary from list of variables,create dictionary from list of variables 'foo' and 'bar' already defined,"dict((k, globals()[k]) for k in ('foo', 'bar'))",1416,27,1,11,0
11114358,How do I remove dicts from a list with duplicate fields in python?,Filter duplicate entries w.r.t. value in 'id' from a list of dictionaries 'L',"list(dict((x['id'], x) for x in L).values())",1548,30,1,11,0
13093727,How to replace unicode characters in string with something else python?,replace unicode characters ''\u2022' in string 'str' with '*',"str.decode('utf-8').replace('\u2022', '*')",1700,34,8,11,0
13353233,Best way to split a DataFrame given an edge,split dataframe `df` where the value of column `a` is equal to 'B',df.groupby((df.a == 'B').shift(1).fillna(0).cumsum()),1731,35,3,11,0
14571103,Capturing emoticons using regular expression in python,match the pattern '[:;][)(](?![)(])' to the string `str`,"re.match('[:;][)(](?![)(])', str)",1842,38,0,11,0
15819980,Calculate mean across dimension in a 2D array,calculate mean across dimension in a 2d array `a`,"np.mean(a, axis=1)",1945,41,6,11,0
